City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Along,IN,2021-10-25 23:49:33,28.1667,94.7667,59.94,96,22,2.04,few clouds
164,Nyurba,RU,2021-10-25 23:49:34,63.2842,118.3319,31.44,91,98,7.27,overcast clouds
165,Steinbach,DE,2021-10-25 23:48:39,50.1667,8.5667,52.39,89,20,2.3,few clouds
166,Najran,SA,2021-10-25 23:49:35,17.4924,44.1277,63.25,19,12,1.01,few clouds
167,Lima,PE,2021-10-25 23:46:38,-12.0432,-77.0282,64.9,77,90,8.05,overcast clouds
168,Isangel,VU,2021-10-25 23:49:36,-19.55,169.2667,84.31,65,20,11.5,few clouds
169,Ust-Nera,RU,2021-10-25 23:49:36,64.5667,143.2,10.44,95,98,2.84,overcast clouds
170,Riyadh,SA,2021-10-25 23:47:24,24.6877,46.7219,73.54,43,0,7.02,clear sky
171,Zhuhai,CN,2021-10-25 23:45:24,22.2769,113.5678,75.06,73,20,16.11,few clouds
172,Torbay,CA,2021-10-25 23:49:37,47.6666,-52.7314,40.26,81,90,11.5,light rain
173,Muli,MV,2021-10-25 23:49:38,2.9167,73.5667,82.69,76,100,17.29,moderate rain
174,Pangnirtung,CA,2021-10-25 23:49:38,66.1451,-65.7125,22.46,57,47,2.13,scattered clouds
175,Qaqortoq,GL,2021-10-25 23:49:39,60.7167,-46.0333,39.7,48,34,9.57,scattered clouds
176,Ancud,CL,2021-10-25 23:46:26,-41.8697,-73.8203,52.43,95,100,14.14,light rain
177,Aykhal,RU,2021-10-25 23:49:40,66.0,111.5,8.85,97,90,9.28,overcast clouds
178,Lorengau,PG,2021-10-25 23:49:41,-2.0226,147.2712,85.05,66,45,5.77,scattered clouds
179,Linhares,BR,2021-10-25 23:49:41,-19.3911,-40.0722,71.78,90,98,6.89,overcast clouds
180,Trenggalek,ID,2021-10-25 23:49:42,-8.05,111.7167,79.57,71,68,4.05,broken clouds
181,Mian Channun,PK,2021-10-25 23:49:42,30.44,72.3543,63.82,49,0,2.3,clear sky
182,Semporna,MY,2021-10-25 23:49:43,4.4818,118.6112,75.4,82,84,1.97,broken clouds
183,Alofi,NU,2021-10-25 23:46:05,-19.0595,-169.9187,82.29,65,75,14.97,broken clouds
184,Petropavlovsk-Kamchatskiy,RU,2021-10-25 23:49:44,53.0452,158.6483,37.99,70,75,2.24,broken clouds
185,Ketchikan,US,2021-10-25 23:49:44,55.3422,-131.6461,48.67,81,90,3.44,light rain
186,Saint Augustine,US,2021-10-25 23:49:45,29.8947,-81.3145,81.05,94,75,3.44,broken clouds
187,Lasa,IT,2021-10-25 23:49:45,46.6166,10.7002,40.08,49,94,1.83,overcast clouds
188,Berlevag,NO,2021-10-25 23:49:46,70.8578,29.0864,33.89,76,97,26.87,light rain
189,Brae,GB,2021-10-25 23:49:46,60.3964,-1.353,49.91,73,91,17.18,overcast clouds
190,Agirish,RU,2021-10-25 23:49:47,61.9247,63.0231,24.78,75,55,8.97,broken clouds
191,Kieta,PG,2021-10-25 23:45:46,-6.2167,155.6333,86.43,65,26,4.72,scattered clouds
192,Itoman,JP,2021-10-25 23:49:47,26.1247,127.6694,75.22,62,20,12.66,few clouds
193,Iqaluit,CA,2021-10-25 23:48:21,63.7506,-68.5145,31.73,86,90,4.0,overcast clouds
194,Rafai,CF,2021-10-25 23:49:48,4.95,23.9167,70.14,96,99,0.83,light rain
195,Catuday,PH,2021-10-25 23:49:49,16.2923,119.8062,79.2,73,100,12.8,light rain
196,Yichang,CN,2021-10-25 23:49:49,30.7144,111.2847,60.64,66,96,1.12,overcast clouds
197,Tiarei,PF,2021-10-25 23:49:50,-17.5333,-149.3333,80.62,74,94,4.79,light rain
198,Xining,CN,2021-10-25 23:49:50,36.6167,101.7667,34.77,94,100,2.55,light rain
199,Thompson,CA,2021-10-25 23:49:51,55.7435,-97.8558,37.56,75,40,3.44,scattered clouds
